filename,1802,1853,1876,1909,1943
Lange_Houtstraat_36.gltf,,https://adamlink.nl/geo/address/A104432,https://adamlink.nl/geo/address/A104431,https://adamlink.nl/geo/address/A104430,https://adamlink.nl/geo/address/A104429
Lange_Houtstraat_37.gltf,,https://adamlink.nl/geo/address/A104615,https://adamlink.nl/geo/address/A104614,https://adamlink.nl/geo/address/A104613,https://adamlink.nl/geo/address/A104612
Lange_Houtstraat_38.gltf,,https://adamlink.nl/geo/address/A104427,https://adamlink.nl/geo/address/A104426,https://adamlink.nl/geo/address/A104425,https://adamlink.nl/geo/address/A104424
Lange_Houtstraat_39.gltf,,https://adamlink.nl/geo/address/A104620,https://adamlink.nl/geo/address/A104619,https://adamlink.nl/geo/address/A104618,https://adamlink.nl/geo/address/A104617
Lange_Houtstraat_40.gltf,,https://adamlink.nl/geo/address/A104422,https://adamlink.nl/geo/address/A104421,https://adamlink.nl/geo/address/A104420,https://adamlink.nl/geo/address/A104419
Lange_Houtstraat_41_43.gltf,,https://adamlink.nl/geo/address/A104625,https://adamlink.nl/geo/address/A104624,https://adamlink.nl/geo/address/A104623,https://adamlink.nl/geo/address/A104622
Lange_Houtstraat_42.gltf,,https://adamlink.nl/geo/address/A104417,https://adamlink.nl/geo/address/A104416,https://adamlink.nl/geo/address/A104415,https://adamlink.nl/geo/address/A104414
Lange_Houtstraat_44.gltf,,https://adamlink.nl/geo/address/A104412,https://adamlink.nl/geo/address/A104411,https://adamlink.nl/geo/address/A104410,https://adamlink.nl/geo/address/A104409
Lange_Houtstraat_45.gltf,,https://adamlink.nl/geo/address/A104640,https://adamlink.nl/geo/address/A104639,https://adamlink.nl/geo/address/A104638,https://adamlink.nl/geo/address/A104637
Lange_Houtstraat_47.gltf,,https://adamlink.nl/geo/address/A104645,https://adamlink.nl/geo/address/A104644,https://adamlink.nl/geo/address/A104643,https://adamlink.nl/geo/address/A104642
Lange_Houtstraat_48.gltf,,https://adamlink.nl/geo/address/A104403,https://adamlink.nl/geo/address/A104402,,
Lange_Houtstraat_49.gltf,,https://adamlink.nl/geo/address/A104650,https://adamlink.nl/geo/address/A104649,https://adamlink.nl/geo/address/A104648,https://adamlink.nl/geo/address/A104647
Lange_Houtstraat_5.gltf,,https://adamlink.nl/geo/address/A104529,https://adamlink.nl/geo/address/A104528,https://adamlink.nl/geo/address/A104527,
Lange_Houtstraat_50.gltf,,https://adamlink.nl/geo/address/A104400,https://adamlink.nl/geo/address/A104399,https://adamlink.nl/geo/address/A104398,https://adamlink.nl/geo/address/A104397
Lange_Houtstraat_52.gltf,,https://adamlink.nl/geo/address/A104395,https://adamlink.nl/geo/address/A104394,https://adamlink.nl/geo/address/A104393,
Lange_Houtstraat_54.gltf,,,https://adamlink.nl/geo/address/A104391,https://adamlink.nl/geo/address/A104390,
Lange_Houtstraat_55.gltf,,https://adamlink.nl/geo/address/A104654,https://adamlink.nl/geo/address/A104662,https://adamlink.nl/geo/address/A104661,https://adamlink.nl/geo/address/A104660
Lange_Houtstraat_55_57_59.gltf,,https://adamlink.nl/geo/address/A104658,https://adamlink.nl/geo/address/A104667,https://adamlink.nl/geo/address/A104666,https://adamlink.nl/geo/address/A104665
Lange_Houtstraat_56.gltf,,https://adamlink.nl/geo/address/A104388,https://adamlink.nl/geo/address/A104387,https://adamlink.nl/geo/address/A104386,https://adamlink.nl/geo/address/A104385
Lange_Houtstraat_58.gltf,,https://adamlink.nl/geo/address/A104383,https://adamlink.nl/geo/address/A104382,https://adamlink.nl/geo/address/A104381,https://adamlink.nl/geo/address/A104380
Lange_Houtstraat_61_63.gltf,,https://adamlink.nl/geo/address/A104678,https://adamlink.nl/geo/address/A104677,https://adamlink.nl/geo/address/A104676,https://adamlink.nl/geo/address/A104675
Lange_Houtstraat_7.gltf,,https://adamlink.nl/geo/address/A104533,https://adamlink.nl/geo/address/A104532,https://adamlink.nl/geo/address/A104531,
Lange_Houtstraat_8.gltf,,https://adamlink.nl/geo/address/A104504,https://adamlink.nl/geo/address/A104503,https://adamlink.nl/geo/address/A104502,https://adamlink.nl/geo/address/A104501
Lange_Houtstraat_9.gltf,https://adamlink.nl/geo/address/A229954,https://adamlink.nl/geo/address/A104538,https://adamlink.nl/geo/address/A104537,https://adamlink.nl/geo/address/A104536,https://adamlink.nl/geo/address/A104535
Leprozen_gracht_10.gltf,,https://adamlink.nl/geo/address/A104722,https://adamlink.nl/geo/address/A104721,https://adamlink.nl/geo/address/A104720,https://adamlink.nl/geo/address/A104719
Leprozen_gracht_12.gltf,,https://adamlink.nl/geo/address/A104717,https://adamlink.nl/geo/address/A104716,https://adamlink.nl/geo/address/A104715,https://adamlink.nl/geo/address/A104714
Leprozen_gracht_16_14.gltf,,https://adamlink.nl/geo/address/A104712,https://adamlink.nl/geo/address/A104711,https://adamlink.nl/geo/address/A104710,https://adamlink.nl/geo/address/A104709
Leprozen_gracht_18.gltf,,https://adamlink.nl/geo/address/A104703,https://adamlink.nl/geo/address/A104702,https://adamlink.nl/geo/address/A104701,https://adamlink.nl/geo/address/A104700
Leprozen_gracht_2.gltf,,https://adamlink.nl/geo/address/A104742,https://adamlink.nl/geo/address/A104741,https://adamlink.nl/geo/address/A104740,https://adamlink.nl/geo/address/A104739
Leprozen_gracht_20_Lange_Houtstraat_65_67.gltf,,https://adamlink.nl/geo/address/A104698,https://adamlink.nl/geo/address/A104697,https://adamlink.nl/geo/address/A104696,https://adamlink.nl/geo/address/A104695
Leprozen_gracht_22.gltf,,,https://adamlink.nl/geo/address/A104378,https://adamlink.nl/geo/address/A104377,https://adamlink.nl/geo/address/A104376
Leprozen_gracht_24.gltf,,https://adamlink.nl/geo/address/A104374,https://adamlink.nl/geo/address/A104373,https://adamlink.nl/geo/address/A104372,
Leprozen_gracht_26.gltf,,https://adamlink.nl/geo/address/A104370,https://adamlink.nl/geo/address/A104369,https://adamlink.nl/geo/address/A104368,
Leprozen_gracht_28.gltf,,https://adamlink.nl/geo/address/A104366,https://adamlink.nl/geo/address/A104365,https://adamlink.nl/geo/address/A104364,https://adamlink.nl/geo/address/A104363
Leprozen_gracht_30.gltf,,https://adamlink.nl/geo/address/A104361,https://adamlink.nl/geo/address/A104360,https://adamlink.nl/geo/address/A104359,https://adamlink.nl/geo/address/A104358
Leprozen_gracht_32.gltf,,https://adamlink.nl/geo/address/A104352,https://adamlink.nl/geo/address/A104351,https://adamlink.nl/geo/address/A104350,https://adamlink.nl/geo/address/A104349
Leprozen_gracht_34_36.gltf,,https://adamlink.nl/geo/address/A104347,https://adamlink.nl/geo/address/A104346,https://adamlink.nl/geo/address/A104345,https://adamlink.nl/geo/address/A104344
Leprozen_gracht_38.gltf,,https://adamlink.nl/geo/address/A104337,https://adamlink.nl/geo/address/A104336,https://adamlink.nl/geo/address/A104335,https://adamlink.nl/geo/address/A104334
Leprozen_gracht_6_4.gltf,,https://adamlink.nl/geo/address/A104737,https://adamlink.nl/geo/address/A104736,https://adamlink.nl/geo/address/A104735,https://adamlink.nl/geo/address/A104734
Leprozen_gracht_8.gltf,,https://adamlink.nl/geo/address/A104727,https://adamlink.nl/geo/address/A104726,https://adamlink.nl/geo/address/A104725,https://adamlink.nl/geo/address/A104724
Zwanenburgerstraat_1.gltf,,https://adamlink.nl/geo/address/A103996,https://adamlink.nl/geo/address/A103991,https://adamlink.nl/geo/address/A103990,
Zwanenburgerstraat_10.gltf,https://adamlink.nl/geo/address/A229986,https://adamlink.nl/geo/address/A103930,https://adamlink.nl/geo/address/A103929,https://adamlink.nl/geo/address/A103928,https://adamlink.nl/geo/address/A103927
Zwanenburgerstraat_11.gltf,,https://adamlink.nl/geo/address/A104021,https://adamlink.nl/geo/address/A104020,https://adamlink.nl/geo/address/A104019,https://adamlink.nl/geo/address/A104018
Zwanenburgerstraat_12.gltf,https://adamlink.nl/geo/address/A229988,https://adamlink.nl/geo/address/A103935,https://adamlink.nl/geo/address/A103934,https://adamlink.nl/geo/address/A103933,https://adamlink.nl/geo/address/A103932
Zwanenburgerstraat_13.gltf,,https://adamlink.nl/geo/address/A104026,https://adamlink.nl/geo/address/A104025,https://adamlink.nl/geo/address/A104024,https://adamlink.nl/geo/address/A104023
Zwanenburgerstraat_14.gltf,,https://adamlink.nl/geo/address/A103947,https://adamlink.nl/geo/address/A103946,https://adamlink.nl/geo/address/A103945,https://adamlink.nl/geo/address/A103944
Zwanenburgerstraat_16.gltf,,https://adamlink.nl/geo/address/A103952,https://adamlink.nl/geo/address/A103951,https://adamlink.nl/geo/address/A103950,https://adamlink.nl/geo/address/A103949
Zwanenburgerstraat_17.gltf,https://adamlink.nl/geo/address/A229980,https://adamlink.nl/geo/address/A104036,https://adamlink.nl/geo/address/A104035,https://adamlink.nl/geo/address/A104034,https://adamlink.nl/geo/address/A104033
Zwanenburgerstraat_18.gltf,,https://adamlink.nl/geo/address/A103956,https://adamlink.nl/geo/address/A103955,https://adamlink.nl/geo/address/A103954,
Zwanenburgerstraat_19.gltf,https://adamlink.nl/geo/address/A229979,https://adamlink.nl/geo/address/A104041,https://adamlink.nl/geo/address/A104040,https://adamlink.nl/geo/address/A104039,https://adamlink.nl/geo/address/A104038
Zwanenburgerstraat_20.gltf,,https://adamlink.nl/geo/address/A103968,https://adamlink.nl/geo/address/A103960,https://adamlink.nl/geo/address/A103966,
Zwanenburgerstraat_21.gltf,https://adamlink.nl/geo/address/A229978,https://adamlink.nl/geo/address/A104046,https://adamlink.nl/geo/address/A104045,https://adamlink.nl/geo/address/A104044,https://adamlink.nl/geo/address/A104043
Zwanenburgerstraat_22.gltf,,https://adamlink.nl/geo/address/A103972,https://adamlink.nl/geo/address/A103971,https://adamlink.nl/geo/address/A103970,
Zwanenburgerstraat_23.gltf,,https://adamlink.nl/geo/address/A104051,https://adamlink.nl/geo/address/A104050,https://adamlink.nl/geo/address/A104049,https://adamlink.nl/geo/address/A104048
Zwanenburgerstraat_24.gltf,,https://adamlink.nl/geo/address/A103977,https://adamlink.nl/geo/address/A103976,https://adamlink.nl/geo/address/A103975,https://adamlink.nl/geo/address/A103974
Zwanenburgerstraat_25.gltf,,https://adamlink.nl/geo/address/A104056,https://adamlink.nl/geo/address/A104055,https://adamlink.nl/geo/address/A104054,https://adamlink.nl/geo/address/A104053
Zwanenburgerstraat_26.gltf,https://adamlink.nl/geo/address/A230127,https://adamlink.nl/geo/address/A103982,https://adamlink.nl/geo/address/A103981,https://adamlink.nl/geo/address/A103980,https://adamlink.nl/geo/address/A103979
Zwanenburgerstraat_28.gltf,https://adamlink.nl/geo/address/A230128,https://adamlink.nl/geo/address/A103987,https://adamlink.nl/geo/address/A103986,https://adamlink.nl/geo/address/A103985,https://adamlink.nl/geo/address/A103984
Zwanenburgerstraat_29.gltf,,https://adamlink.nl/geo/address/A104066,https://adamlink.nl/geo/address/A104065,https://adamlink.nl/geo/address/A104064,https://adamlink.nl/geo/address/A104063
Zwanenburgerstraat_3.gltf,,https://adamlink.nl/geo/address/A104001,https://adamlink.nl/geo/address/A104000,https://adamlink.nl/geo/address/A103999,https://adamlink.nl/geo/address/A103998
Zwanenburgerstraat_31.gltf,,https://adamlink.nl/geo/address/A104248,https://adamlink.nl/geo/address/A104247,https://adamlink.nl/geo/address/A104246,https://adamlink.nl/geo/address/A104245
Zwanenburgerstraat_33.gltf,https://adamlink.nl/geo/address/A229968,https://adamlink.nl/geo/address/A104253,https://adamlink.nl/geo/address/A104252,https://adamlink.nl/geo/address/A104251,https://adamlink.nl/geo/address/A104250
Zwanenburgerstraat_35.gltf,https://adamlink.nl/geo/address/A229968,https://adamlink.nl/geo/address/A104258,https://adamlink.nl/geo/address/A104257,https://adamlink.nl/geo/address/A104256,https://adamlink.nl/geo/address/A104255
Zwanenburgerstraat_37.gltf,https://adamlink.nl/geo/address/A229967,https://adamlink.nl/geo/address/A104263,https://adamlink.nl/geo/address/A104262,https://adamlink.nl/geo/address/A104261,https://adamlink.nl/geo/address/A104260
Zwanenburgerstraat_39.gltf,,https://adamlink.nl/geo/address/A104268,https://adamlink.nl/geo/address/A104267,https://adamlink.nl/geo/address/A104266,https://adamlink.nl/geo/address/A104265
Zwanenburgerstraat_4.gltf,https://adamlink.nl/geo/address/A229983,https://adamlink.nl/geo/address/A103915,https://adamlink.nl/geo/address/A103914,https://adamlink.nl/geo/address/A103913,https://adamlink.nl/geo/address/A103912
